ipc_section,bns_section,notes
199,236,False statement made in declaration which is by law receivable as evidence
200,237,Using as true such declaration knowing it to be false
201,238,"Causing disappearance of evidence of offence, or giving false information to screen offender"
202,239,Intentional omission to give information of offence by person bound to inform
203,240,Giving false information respecting an offence committed
204,241,Destruction of document or electronic record to prevent its production as evidence
205,242,False personation for purpose of act or proceeding in suit or prosecution
206,243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution
207,244,Fraudulent claim to property to prevent its seizure as forfeited or in execution
208,245,Fraudulently suffering decree for sum not due
209,246,Dishonestly making false claim in Court
210,247,Fraudulently obtaining decree for sum not due
211,248,False charge of offence made with intent to injure
212,249,Harbouring offender
213,250,"Taking gift, etc., to screen an offender from punishment"
214,251,Offering gift or restoration of property in consideration of screening offender
215,252,"Taking gift to help to recover stolen property, etc."
216,253,Harbouring offender who has escaped from custody or whose apprehension has been ordered
216A,254,Penalty for harbouring robbers or dacoits
216B,2(13),"Definition of “harbour” in sections 212, 216 and 216A"
217,255,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture
218,256,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture
219,257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law"
220,258,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law
221,259,Intentional omission to apprehend on the part of public servant bound to apprehend
222,260,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed
223,261,Escape from confinement or custody negligently suffered by public servant
224,262,Resistance or obstruction by a person to his lawful apprehension
225,263,Resistance or obstruction to lawful apprehension of another person
225A,264,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for"
225B,265,"Resistance or obstruction to lawful apprehension, or escape or rescue, in cases not otherwise provided for"
226,Repealed in BNS,Unlawful return from transportation
227,266,Violation of condition of remission of punishment
228,267,Intentional insult or interruption to public servant sitting in judicial proceeding
228A,72,"Disclosure of identity of the victim of certain offences, etc."
229,268,Personation of a juror or assessor
229A,269,Failure by person released on bail or bond to appear in Court
230,178,“Coin” defined
231,178,Counterfeiting coin
232,178,Counterfeiting Indian coin
233,181,Making or selling instrument for counterfeiting coin
234,181,Making or selling instrument for counterfeiting Indian coin
235,181,"Possession of instrument, or material for the purpose of using the same for counterfeiting coin"
236,Repealed in BNS,Abetting in India the counterfeiting out of India of coin
237,179,Import or export of counterfeit coin
238,179,Import or export of counterfeits of Indian coin
239,179,"Delivery of coin, possessed with knowledge that it is counterfeit"
240,180,"Delivery of Indian coin, possessed with knowledge that it is counterfeit"
241,Repealed in BNS,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit"
242,180 Explanation,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof
243,180 Explanation,Possession of Indian coin by person who knew it to be altered when he became possessed thereof
244,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law
245,188,Unlawfully taking coining instrument from mint
246,178(5),Fraudulently or dishonestly diminishing weight or altering composition of coin
247,178(5),Fraudulently or dishonestly diminishing weight or altering composition of Indian coin
248,178(5),Altering appearance of coin with intent that it shall pass as coin of different description
249,178(5),Altering appearance of Indian coin with intent that it shall pass as coin of different description
250,180,"Delivery of coin, possessed with knowledge that it is altered"
251,180,"Delivery of Indian coin, possessed with knowledge that it is altered"
252,180 Explanation,Possession of coin by person who knew it to be altered when he became possessed thereof
255,178,Counterfeiting Government stamp
256,181,Having possession of instrument or material for counterfeiting Government stamp
257,181,Making or selling instrument for counterfeiting Government stamp
258,181,Sale of counterfeit Government stamp
259,180,Having possession of counterfeit Government stamp
260,179,Using as genuine a Government stamp known to be counterfeit
261,183,"Effacing, writing fromsubstance bearing Government stamp, or removing fromdocument a stamp used for it,with intent to cause loss toGovernment"
262,184,Using Government stamp known to have been before used
263,185,Erasure of mark denoting that stamp has been used
263A,186,Prohibition of fictitious stamps
264,Repealed in BNS,Fraudulent use of false instrument for weighing
265,Repealed in BNS,Fraudulent use of false weight or measure
266,Repealed in BNS,Being in possession of false weight or measure
267,Repealed in BNS,Making or selling false weight or measure
268,270,Public nuisance
269,271,Negligent act likely to spread infection of disease dangerous to life
270,272,Malignant Act likely to spread infection of disease dangerous to life
271,273,Disobedience to quarantine rule
272,274,Adulteration of food or drink intended for sale
273,275,Sale of noxious food or drink
274,276,Adulteration of drugs
275,277,Sale of adulterated drugs
276,278,Sale of drug as a different drug or preparation
277,279,Fouling water of public spring or reservoir
278,280,Making atmosphere noxious to health
279,281,Rash driving or riding on a public way
280,282,Rash navigation of vessel
281,283,"Exhibition of false light, mark or buoy"
282,284,Conveying person by water for hire in unsafe or overloaded vessel
283,285,Danger or obstruction in public way or line of navigation
284,286,Negligent conduct with respect to poisonous substance
285,287,Negligent conduct with respect to fire or combustible matter
286,288,Negligent conduct with respect to explosive substance
287,289,Negligent conduct with respect to machinery
288,290,"Negligent conduct with respect to pulling down or repairing buildings, etc."
289,291,Negligent conduct with respect to animal
290,292,Punishment for public nuisance in cases not otherwise provided for
291,293,Continuance of nuisance after injunction to discontinue
292,294,"Sale, etc., of obscene books, etc."
293,295,"Sale, etc., of obscene objects to young person"
294,296,Obscene acts and songs
294A,297,Keeping lottery office
295,298,Injuring or defiling place of worship with intent to insult the religion of any class
295A,299,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs"
296,300,Disturbing religious assembly
297,301,"Trespassing on burial places, etc."
298,302,"Uttering words, etc., with deliberate intent to wound the religious feelings of any person"
299,100,Culpable homicide
300,101,Murder
301,102,Culpable homicide by causing death of person other than person whose death was intended
302,103,Punishment for murder
303,104,Punishment for murder by lifeconvict
304,105,Punishment for culpable homicide not amounting to murder
304A,106,Causing death by negligence
304B,80,Dowry death
305,107,Abetment of suicide of child or insane person
306,108,Abetment of suicide
307,109,Attempt to murder
308,110,Attempt to commit culpable homicide
309,226,Attempt to commit suicide
310,Repealed in BNS,Thug
311,Repealed in BNS,Punishment
312,88,Causing miscarriage
313,89,Causing miscarriage without woman’s consent
314,90,Death caused by act done with intent to cause miscarriage
315,91,Act done with intent to prevent child being born alive or to cause it to die after birth
316,92,Causing death of quick unborn
317,93,"Exposure and abandonment of child under twelve years, by parent or person having care of it"
318,94,"Exposure and abandonment of child under twelve years, by parent or person having care of it"
319,114,Hurt
320,116,Grievous hurt
321,115(1),Voluntarily causing hurt
322,117(1),Voluntarily causing grievous hurt
323,115(2),Punishment for voluntarily causing hurt
324,118(1),Voluntarily causing hurt by dangerous weapons or means
