file,status,page_count,text_extractable,first_chars
Bhikulal_Kedarmal_Goenka_D_By_L_Rs_vs_State_Of_Maharashtra_And_Anr_on_28_July_2016_1.PDF,ok,3,True,"Bhikulal Kedarmal Goenka (D) By L.Rs vs State Of Maharashtra
And Anr on 28 July, 2016
Equivalent cit"
Bhupinder_Singh_Bawa_vs_Asha_Devi_on_8_November_2016_1.PDF,ok,4,True,"Bhupinder Singh Bawa vs Asha Devi on 8 November, 2016
Equivalent citations: AIR 2016 SC 5258, 2016 ("
Bhushan_Power_And_Steel_Ltd_vs_S_L_Seal_Ors_on_15_December_2016_1.PDF,ok,13,True,"Bhushan Power And Steel Ltd vs S. L. Seal & Ors on 15
December, 2016
Equivalent citations: AIR 2016 "
Bismillah_Be_Dead_By_Lrs_vs_Majeed_Shah_on_29_November_2016_1.PDF,ok,6,True,"Bismillah Be (Dead) By Lrs vs Majeed Shah on 29 November,
2016
Equivalent citations: AIR 2017 SUPREM"
Board_Of_Control_For_Cricket_vs_Cricket_Aasociation_Of_Bihar_Ors_on_18_July_2016_1.PDF,ok,48,True,"Board Of Control For Cricket vs Cricket Aasociation Of Bihar &
Ors on 18 July, 2016
Equivalent citat"
Brajendra_Singh_Yambem_vs_Union_Of_India_And_Anr_on_26_August_2016_1.PDF,ok,19,True,"Brajendra Singh Yambem vs Union Of India And Anr on 26
August, 2016
Equivalent citations: AIR 2016 S"
Brij_Lal_vs_State_Of_Rajasthan_on_17_August_2016_1.PDF,ok,16,True,"Brij Lal vs State Of Rajasthan on 17 August, 2016
Equivalent citations: AIR 2016 SUPREME COURT 3875,"
Bunga_Daniel_Babu_vs_M_S_Sri_Vasudeva_Constructions_Ors_on_22_July_2016_1.PDF,ok,12,True,"Bunga Daniel Babu vs M/S Sri Vasudeva Constructions & Ors on
22 July, 2016
Equivalent citations: AIR"
C_C_E_Raigad_vs_M_S_Ispat_Metallics_Industries_on_6_May_2016_1.PDF,ok,5,True,"C.C.E., Raigad vs M/S. Ispat Metallics Industries ... on 6 May,
2016
Equivalent citations: AIR 2016 "
C_I_T_4_Mumbai_vs_M_S_Kotak_Securities_Ltd_on_29_March_2016_1.PDF,ok,6,True,"C.I.T-4 Mumbai vs M/S Kotak Securities Ltd on 29 March, 2016
Equivalent citations: AIR 2016 SUPREME "
C_I_T_Anr_vs_M_S_Yokogawa_India_Ltd_on_16_December_2016_1.PDF,ok,10,True,"C.I.T & Anr vs M/S Yokogawa India Ltd on 16 December, 2016
Equivalent citations: 2017 (1) AKR 752, A"
Cellular_Operators_Association_Of_vs_Telecom_Regulatory_Authority_Of_India_on_11_May_2016_1.PDF,ok,40,True,"Cellular Operators Association Of ... vs Telecom Regulatory
Authority Of India ... on 11 May, 2016
E"
Central_Industrial_Security_Force_And_vs_Abrar_Ali_on_14_December_2016_1.PDF,ok,7,True,"Central Industrial Security Force And ... vs Abrar Ali on 14
December, 2016
Equivalent citations: AI"
Centre_For_Public_Interest_Litigation_vs_U_O_I_Ors_on_8_April_2016_1.PDF,ok,23,True,"Centre For Public Interest Litigation vs U.O.I.& Ors on 8 April,
2016
Equivalent citations: AIR 2016"
Ceo_Krishna_District_Coop_Central_vs_K_Hanumantha_Rao_And_Anr_on_9_December_2016_1.PDF,ok,6,True,"Ceo, Krishna District Coop. Central ... vs K Hanumantha Rao
And Anr on 9 December, 2016
Author: A.K."
Chairman_And_Managing_Director_Central_vs_Central_Bank_Of_India_Sc_St_Employees_on_8_January_2016_1.PDF,ok,11,True,"Chairman And Managing Director Central ... vs Central Bank Of
India Sc/St Employees ... on 8 January"
Chamoli_Dist_Coop_Bank_Ltd_Tr_Sec_vs_Raghunath_Singh_Rana_Ors_on_17_May_2016_1.PDF,ok,11,True,"Chamoli Dist.Coop.Bank Ltd.Tr.Sec.& ... vs Raghunath Singh
Rana & Ors on 17 May, 2016
Equivalent cit"
Chief_Administrator_Huda_Anr_vs_Shakuntla_Devi_on_8_December_2016_1.PDF,ok,6,True,"Chief Administrator Huda & Anr vs Shakuntla Devi on 8
December, 2016
Equivalent citations: AIR 2017 "
Cit_vs_M_S_Meghalaya_Steels_Ltd_on_9_March_2016_1.PDF,ok,14,True,"Cit vs M/S Meghalaya Steels Ltd on 9 March, 2016
Equivalent citations: AIR 2016 SUPREME COURT 1309, "
Commissioner_Of_Commercial_Tax_U_P_vs_M_S_A_R_Thermosets_Pvt_Ltd_on_6_September_2016_1.PDF,ok,9,True,"Commissioner Of Commercial Tax U.P vs M/S A.R. Thermosets
(Pvt.) Ltd on 6 September, 2016
Equivalent"
Commissioner_Of_Income_Tax_Kochi_vs_Trans_Asian_Shipping_Services_P_Ltd_on_5_July_2016_1.PDF,ok,13,True,"Commissioner Of Income Tax, Kochi vs Trans Asian Shipping
Services (P) Ltd on 5 July, 2016
Equivalen"
Commissioner_Of_Income_Tax_vs_Society_For_The_Promn_Of_on_16_February_2016_1.PDF,ok,2,True,"Commissioner Of Income Tax, ... vs Society For The Promn.Of ...
on 16 February, 2016
Equivalent cita"
Committee_Of_Management_Anuragi_Devi_vs_State_Of_U_P_And_Anr_on_29_June_2016_1.PDF,ok,10,True,"Committee Of Management Anuragi Devi ... vs State Of U.P And
Anr on 29 June, 2016
Equivalent citatio"
Commnr_Central_Excise_Madras_vs_M_S_Adison_Co_Ltd_on_29_August_2016_1.PDF,ok,16,True,"Commnr.,Central Excise, Madras vs M/S. Adison & Co. Ltd on 29
August, 2016
Equivalent citations: AIR"
Commnr_Of_Income_Tax_Gujarat_Central_vs_Saurasthra_Cement_Chem_Industries_on_2_May_2016_1.PDF,ok,10,True,"Commnr. Of Income Tax, Gujarat Central vs Saurasthra Cement
& Chem. Industries ... on 2 May, 2016
Eq"
Common_Cause_vs_Union_Of_India_Ors_on_4_April_2016_1.PDF,ok,21,True,"Common Cause vs Union Of India & Ors on 4 April, 2016
Equivalent citations: AIR 2016 SUPREME COURT 1"
Commr_Of_Income_Tax_Xviii_Delhi_vs_Bank_Of_Nova_Scotia_on_7_January_2016_1.PDF,ok,2,True,"Commr.Of Income Tax-Xviii,Delhi vs Bank Of Nova Scotia on 7
January, 2016
Equivalent citations: AIR "
D_D_A_vs_M_S_Anant_Raj_Agencies_Pvt_Ltd_on_12_April_2016_1.PDF,ok,12,True,"D.D.A vs M/S.Anant Raj Agencies Pvt.Ltd on 12 April, 2016
Equivalent citations: AIR 2016 SUPREME COU"
D_D_A_vs_Raman_Grover_And_Ors_on_10_May_2016_1.PDF,ok,1,True,"D.D.A vs Raman Grover And Ors on 10 May, 2016
Bench: Rohinton Fali Nariman, Kurian Joseph
          "
Damodar_Lal_vs_Sohan_Devi_And_Ors_on_5_January_2016_1.PDF,ok,6,True,"Damodar Lal vs Sohan Devi And Ors on 5 January, 2016
Equivalent citations: AIR 2016 SUPREME COURT 26"
Dda_vs_M_S_Kenneth_Builders_Developers_Ltd_on_29_June_2016_1.PDF,ok,18,True,"Dda vs M/S Kenneth Builders Developers Ltd. ... on 29 June,
2016
Equivalent citations: AIR 2016 SUPR"
Delhi_Development_Authority_vs_Reena_Suri_And_Ors_on_28_April_2016_1.PDF,ok,6,True,"Delhi Development Authority vs Reena Suri And Ors on 28 April,
2016
Equivalent citations: 2017 (1) A"
Delhi_Development_Authority_vs_Sukhbir_Singh_Ors_on_9_September_2016_1.PDF,ok,20,True,"Delhi Development Authority vs Sukhbir Singh & Ors on 9
September, 2016
Equivalent citations: AIR 20"
Delhi_State_Industrial_vs_Jai_Kishan_Goel_Ors_on_8_November_2016_1.PDF,ok,2,True,"Delhi State Industrial & ... vs Jai Kishan Goel & Ors on 8
November, 2016
Author: R.K.Agrawal
Bench:"
Devinder_Singh_Ors_vs_State_Of_Punjab_Through_Cbi_on_25_April_2016_1.PDF,ok,23,True,"Devinder Singh & Ors vs State Of Punjab Through Cbi on 25
April, 2016
Author: Arun Mishra
Bench: Aru"
Devraj_vs_State_Of_Chhattisgarh_on_25_July_2016_1.PDF,ok,9,True,"Devraj vs State Of Chhattisgarh on 25 July, 2016
Equivalent citations: AIR 2016 SUPREME COURT 3498, "
Dhal_Singh_Dewangan_vs_State_Of_Chhattisgarh_on_23_September_2016_1.PDF,ok,22,True,"Dhal Singh Dewangan vs State Of Chhattisgarh on 23
September, 2016
Equivalent citations: AIR 2016 SU"
Dheeraj_Developers_P_Ltd_vs_Dr_Om_Prakash_Gupta_And_Ors_on_23_February_2016_1.PDF,ok,4,True,"Dheeraj Developers P.Ltd vs Dr.Om Prakash Gupta And Ors on
23 February, 2016
Equivalent citations: A"
Dokiseela_Ramulu_vs_Sri_Sangameswara_Swamy_Varu_Ors_on_29_November_2016_1.PDF,ok,12,True,"Dokiseela Ramulu vs Sri Sangameswara Swamy Varu & Ors on
29 November, 2016
Equivalent citations: AIR"
Don_Ayengia_vs_State_Of_Assam_Ors_on_28_January_2016_1.PDF,ok,5,True,"Don Ayengia vs State Of Assam & Ors on 28 January, 2016
Equivalent citations: AIR 2016 SUPREME COURT"
Dr_Rini_Johar_Anr_vs_State_Of_M_P_Ors___on_3_June_2016.PDF,ok,12,True,"Dr. Rini Johar & Anr. vs State Of M.P.&Ors.; on 3 June, 2016
Equivalent citations: AIR 2016 SUPREME "
Educational_Society_Tumsar_And_Ors_vs_State_Of_Maharashtra_And_Ors_on_1_February_2016_1.PDF,ok,7,True,"Educational Society, Tumsar And Ors vs State Of Maharashtra
And Ors on 1 February, 2016
Equivalent c"
Eitzen_Bulk_A_S_vs_Ashapura_Minechem_Limited_Anr_on_13_May_2016_1.PDF,ok,11,True,"Eitzen Bulk A/S vs Ashapura Minechem Limited & Anr on 13
May, 2016
Equivalent citations: AIR 2016 SU"
Essar_Steel_Ltd_vs_Union_Of_India_Ors_on_19_April_2016_1.PDF,ok,22,True,"Essar Steel Ltd vs Union Of India & Ors on 19 April, 2016
Equivalent citations: AIR 2016 SUPREME COU"
Estate_Officer_Ut_Chandigarh_And_Ors_vs_M_S_Esys_Information_Technologies_on_11_May_2016_1.PDF,ok,9,True,"Estate Officer Ut Chandigarh And Ors vs M/S. Esys Information
Technologies ... on 11 May, 2016
Equiv"
Eveready_Industries_India_Ltd_vs_State_Of_Karnataka_on_13_April_2016_1.PDF,ok,6,True,"Eveready Industries India Ltd vs State Of Karnataka on 13 April,
2016
Equivalent citations: AIR 2016"
Extra_Judl_Exec_Victim_Families_vs_Union_Of_India_Anr_on_13_July_2016_1.PDF,ok,52,True,"Extra Judl.Exec.Victim Families ... vs Union Of India & Anr on 13
July, 2016
Author: Madan B. Lokur
"
